ALL COLLEGE,,,,,,,,,,,
(As on Date:  18-7-2026  3:3:40),,,,,,,,,,,
Aishe Code,Name,State,District,Website,Year Of Establishment,Location,College Type,Manegement,University Aishe Code,University Name,University Type
C-9012,"150027-TMES'S J.T.MAHAJAN COLLEGE OF ENGINEERING, FAIZPUR.",Maharashtra,Jalgaon,www.jtmcoef.ac.in,1984,Rural,Affiliated College,Private Un-Aided,U-0299,"Dr. Babasaheb Ambedkar Technological University, Lonere",State Public University
C-8881,"150028 - TAPI VALLEY EDUCATION SOCIETY'S DHANAJI NANA MAHAVIDYALAYA, FAIZPUR.",Maharashtra,Jalgaon,www.dnmfaizpur.org,1961,Rural,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8851,"150051-TVES'S HON'BLE LOKSEVAK MADHUKARRAO CHAUDHARI COLLEGE OF PHARMACY, FAIZPUR.",Maharashtra,Jalgaon,https://copfaizpur.co.in/,1994,Rural,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8820,"150056-SES'S ARTS & SCIENCE COLLEGE, BHALOD, TAL. YAWAL",Maharashtra,Jalgaon,www.ascbhalod.ac.in,1996,Rural,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8981,"160030-YASHWANTRAO CHAVAN SHIKSHAN PRASARAK MANDAL'S DADASAHEB DIGAMBAR SHANKAR PATIL ARTS, COMMERCE AND SCIENCE COLLEGE, ERANDOL",Maharashtra,Jalgaon,ddsp.ac.in,1971,Urban,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8885,"160031-P.R.HIGH SCHOOL SOCIETY'S ARTS, COMMERCE AND SCIENCE COLLEGE, DHARANGAON, TAL : DHARANGAON",Maharashtra,Jalgaon,www.acscollegedharangaon.org,1971,Rural,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8983,"170032-JAMNER TALUKA EDUCATION SOCIETY'S GITABAI DATTATRAY MAHAJAN ARTS, SHRI KESHRIMAL RAJMAL NAVLAKHA COMMERCE AND MANOHARSHETH DHARIWAL SCIENCE COLLEGE, JAMNER TAL-JAMNER DIST-JALGAON",Maharashtra,Jalgaon,https://acscollegejamner.org.in/,1971,Rural,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8894,"170033-APPASAHEB RAGUNATHRAO BHAURAO GARUD ARTS, COMMERCE & SCIENCE COLLEGE SHENDURNI TAL-JAMNER DIST-JALGAON",Maharashtra,Jalgaon,www.arbgarudcollege.ac.in,1971,Rural,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8980,"170034-PT CO-OP ES'S ARTS,SCIENCE & COMMERCE COLLEGE, PACHORA.",Maharashtra,Jalgaon,www.ssmmcollege.ac.in,1970,Rural,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8987,"170096-SHREE SURESHDADA JAIN INSTITUTE OF PHARMACEUTICAL EDUCATION & RESEARCH, JAMNER",Maharashtra,Jalgaon,www.ssjiper.com,2005,Rural,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8942,"170111-PDUSPM'S INSTITUTE OF MANAGEMENT & RESEARCH, JAMNER",Maharashtra,Jalgaon,www.imrjamner.com,2009,Rural,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8880,"180035-VIDYA BHARATI SHAIKSHANIK MANDALACHE AMARAVATI SANCHLIT SANT MUKTABAI ARTS AND COMMERCE COLLEGE, MUKTAINAGAR.",Maharashtra,Jalgaon,WWW.SMCOLLEGE.IN,1983,Rural,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8910,"180036-MUKTAINAGR TALUKA EDUCATION SOCIETY'S,SHRIMATI GODAVARIBAI GANPATRAO KHADSE COLLEGE, MUKTAINAGAR",Maharashtra,Jalgaon,https://www.sggkhadsecollege.ac.in/,1990,Rural,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8856,"180037-RPSPM'S SHRI VITTHALRAO SHANKARRAO NAIK ARTS,COMMERCE & SCIENCE COLLEGE, RAVER.",Maharashtra,Jalgaon,https://www.svsncollegeraver.org/,1978,Rural,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8891,"180038-JANTA SHIKSHAN MANDAL'S SANE GURUJI VIDYA PRABODHINI COMPREHENSIVE COLLEGE OF EDUCATION, KHIRODA TAL-RAVER DIST-JALGAON",Maharashtra,Jalgaon,www.sgvpcoek.org,1970,Rural,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8956,"180049-APSPM'S SARDAR VALLABHBHAI PATEL ARTS & SCIENCE COLLEGE, AINPUR.",Maharashtra,Jalgaon,www.ainpurcollege.ac.in,-,Rural,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8863,"190040-KVPS'S KISAN ARTS,COMMERCE & SCIENCE COLLEGE, PAROLA.",Maharashtra,Jalgaon,www.kisanacscollegeparola,1977,Urban,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8897,"190041-PTSS'S SAU. RAJNITAI N.DESHMUKH ARTS,COMMERCE & SCIENCE COLLEGE, BHADGAON.",Maharashtra,Jalgaon,www.srndcollege.org.in,1979,Urban,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-9003,"190042-SSPM'S RANI LAXMIBAI MAHAVIDYALAYA, PAROLA, Tal-Parola, Dist - Jalgaon",Maharashtra,Jalgaon,www.rlcollegeparola.org,1992,Rural,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8901,"190097-SSPM'S COLLEGE OF EDUCATION, TEHU, TAL.PAROLA",Maharashtra,Jalgaon,sspmbed.org,2005,Rural,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8916,"200001-JAI HIND ET'S ZULAL BHILAJIRAO PATIL COLLEGE, DHULE.",Maharashtra,Dhule,www.zbpatil.in,1982,Urban,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8871,"200002-SSVPS'S LATE KARMAVEER DR.P.R. GHOGREY SCIENCE COLLEGE, DHULE.",Maharashtra,Dhule,https://www.prgscience.com,1956,Urban,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8950,"200003-SSVPS'S BHAUSAHEB N.S.PATIL ARTS & M.F.M.A. COMMERCE COLLEGE, DHULE.",Maharashtra,Dhule,www.ssvpacdhule.com,1956,Urban,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8874,"200004-SSVPS'S BAPUSAHEB SHIVAJIRAO DEORE COLLEGE OF ENGINEERING, DHULE.",Maharashtra,Dhule,www.ssvpsengg.ac.in,1983,Urban,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8906,"200006-DES'S M.D.PALESHA COMMERCE COLLEGE, DHULE.",Maharashtra,Dhule,www.mdpaleshacollege.ac.in,1984,Urban,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8921,"200007-WKDSPM'S DR.BABASAHEB AMBEDKAR MEMORIAL COLLEGE OF LAW, DHULE",Maharashtra,Dhule,www.dbamlaw.in,1975,Urban,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8932,"200008-DES'S COLLEGE OF EDUCATION, DHULE.",Maharashtra,Dhule,www.descoed.org,1961,Urban,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8886,"200009-ABHAY YUWA KALYAN KENDRA'S ARTS MAHILA MAHAVIDYALAYA, DHULE.",Maharashtra,Dhule,aykk.org.mahila-institute.php,1989,Urban,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8896,"200013-ABHAY YUVA KALYAN KENDRA'S COLLEGE OF EDUCATION, DHULE TAL-DHULE DIST-DHULE.",Maharashtra,Dhule,www.aykkbed.in,1986,Urban,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8962,"200018-Social and Cultural Association's Smt. Narmadabai Nago Chaudhari Arts, Commerce and Science College Kusumba, Tal. & Dist- Dhule.",Maharashtra,Dhule,smtnncckusumba.org,1986,Rural,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8911,"200019-NES'S GANGAMAI COLLEGE OF EDUCATION, NAGAON, TAL.& DIST-DHULE.",Maharashtra,Dhule,gangamaibed.org,1986,Rural,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8892,"200022-K.S.WANI ADVANCED STUDY CENTRE IN MARATHI, DHULE.",Maharashtra,Dhule,www.kswtrust.org,1987,Urban,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8846,"200025-NES'S GANGAMAI COLLEGE OF ENGINEERING, NAGAON, TAL.& DIST-DHULE.",Maharashtra,Dhule,www.gangamaiengg.org.in,1991,Rural,Affiliated College,Private Un-Aided,U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
C-8986,"200057-GRAM VIKAS MANDAL'S KRANTIVEER NAVALBHAU ARTS COLLEGE, NAVALNAGAR-424318, TAL.& DIST-DHULE.",Maharashtra,Dhule,www.knbartscollege.com,1993,Rural,Affiliated College,Private Aided (Government Aided),U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",State Public University
